λ,Curve-1_E
499.489,3436.78
499.574,3529.02
499.659,3578.5
499.744,3610.77
499.829,3639.28
499.914,3780.48
499.999,3717.29
500.084,3881.48
500.168,3885.58
500.253,3923.78
500.338,4050.37
500.423,4117.02
500.508,4190.85
500.593,4158.9
500.678,4277.55
500.763,4350.2
500.848,4403.91
500.933,4466.68
501.018,4546.52
501.103,4612.38
501.187,4676.71
501.272,4655.0
501.357,4793.48
501.442,4765.09
501.527,4898.72
501.612,4920.42
501.697,5069.9
501.782,5222.37
501.867,5259.12
501.952,5278.77
502.036,5391.45
502.121,5463.33
502.206,5546.88
502.291,5692.61
502.376,5723.02
502.461,5840.55
502.546,5858.02
502.631,5995.77
502.716,6011.25
502.8,6146.42
502.885,6259.77
502.97,6227.04
503.055,6411.73
503.14,6444.11
503.225,6600.86
503.31,6704.86
503.395,6790.76
503.479,6722.19
503.564,6788.63
503.649,6805.87
503.734,6947.88
503.819,6899.58
503.904,7003.44
503.989,6984.27
504.073,7076.65
504.158,6934.24
504.243,6937.02
504.328,6928.09
504.413,6992.73
504.498,6843.49
504.582,6884.4
504.667,6954.23
504.752,6879.79
504.837,6809.83
504.922,6830.42
505.007,6695.39
505.091,6745.22
505.176,6610.06
505.261,6587.74
505.346,6503.08
505.431,6591.27
505.516,6368.77
505.6,6390.41
505.685,6431.93
505.77,6334.84
505.855,6300.09
505.94,6294.9
506.025,6107.13
506.109,6154.89
506.194,6146.42
506.279,6031.41
506.364,6078.7
506.449,5939.83
506.533,5959.4
506.618,5856.32
506.703,5848.0
506.788,5775.88
506.873,5834.78
506.957,5680.68
507.042,5624.02
507.127,5632.37
507.212,5613.56
507.297,5527.39
507.381,5563.12
507.466,5455.37
507.551,5404.5
507.636,5277.99
507.72,5376.59
507.805,5303.47
507.89,5292.73
507.975,5233.83
508.06,5115.01
508.144,5114.04
508.229,5079.68
508.314,5117.9
508.399,5054.7
508.483,5001.62
508.568,4958.67
508.653,4945.31
508.738,4901.28
508.822,4853.28
508.907,4824.13
508.992,4750.21
509.077,4922.46
509.161,4774.31
509.246,4731.92
509.331,4703.17
509.416,4660.54
509.5,4668.04
509.585,4547.83
509.67,4558.73
509.755,4578.95
509.839,4599.48
509.924,4556.56
510.009,4401.38
510.094,4553.87
510.178,4488.13
510.263,4547.88
510.348,4413.94
510.433,4433.84
510.517,4339.48
510.602,4406.87
510.687,4326.68
510.771,4350.26
510.856,4353.74
510.941,4341.45
511.026,4301.85
511.11,4359.33
511.195,4373.36
511.28,4331.33
511.364,4365.74
511.449,4297.61
511.534,4348.56
511.619,4301.41
511.703,4309.1
511.788,4257.19
511.873,4319.71
511.957,4286.58
512.042,4251.54
512.127,4357.43
512.211,4285.69
512.296,4344.86
512.381,4308.73
512.466,4303.66
512.55,4277.58
512.635,4303.88
512.72,4344.56
512.804,4296.18
512.889,4322.16
512.974,4329.31
513.058,4303.14
513.143,4291.78
513.228,4246.23
513.312,4261.78
513.397,4304.77
513.482,4242.52
513.566,4229.23
513.651,4234.55
513.736,4181.79
513.82,4185.46
513.905,4239.46
513.99,4241.43
514.074,4169.57
514.159,4207.07
514.244,4249.4
514.328,4259.2
514.413,4270.76
514.498,4204.7
514.582,4213.7
514.667,4252.34
514.752,4254.67
514.836,4237.89
514.921,4359.31
515.005,4309.21
515.09,4244.53
515.175,4332.39
515.259,4180.81
515.344,4326.76
515.429,4306.74
515.513,4342.29
515.598,4334.31
515.682,4374.38
515.767,4365.38
515.852,4407.51
515.936,4423.22
516.021,4390.0
516.106,4472.09
516.19,4518.27
516.275,4547.9
516.359,4579.88
516.444,4610.47
516.529,4666.67
516.613,4699.68
516.698,4692.94
516.782,4683.45
516.867,4785.13
516.952,4853.07
517.036,4823.55
517.121,4878.64
517.205,4928.4
517.29,4940.64
517.375,5031.89
517.459,5084.59
517.544,5147.59
517.628,5206.39
517.713,5225.58
517.798,5277.59
517.882,5382.21
517.967,5458.21
518.051,5484.36
518.136,5468.06
518.22,5646.08
518.305,5690.22
518.39,5701.0
518.474,5811.73
518.559,5811.25
518.643,5855.21
518.728,5974.49
518.812,6097.37
518.897,6133.04
518.982,6229.3
519.066,6305.11
519.151,6385.29
519.235,6385.7
519.32,6596.49
519.404,6600.74
519.489,6755.56
519.573,6802.23
519.658,6936.27
519.743,6995.04
519.827,7145.97
519.912,7186.5
519.996,7395.42
520.081,7447.3
520.165,7564.71
520.25,7652.36
520.334,7681.2
520.419,7911.79
520.503,8024.96
520.588,8076.17
520.672,8199.82
520.757,8411.2
520.841,8400.27
520.926,8533.6
521.011,8642.97
521.095,8833.87
521.18,8920.38
521.264,9117.86
521.349,9160.88
521.433,9284.15
521.518,9430.01
521.602,9520.34
521.687,9670.54
521.771,9764.32
521.856,9880.71
521.94,10082.5
522.025,10082.6
522.109,10288.5
522.194,10423.6
522.278,10501.9
522.363,10598.5
522.447,10872.5
522.532,10874.7
522.616,11066.7
522.701,11126.9
522.785,11192.8
522.87,11323.1
522.954,11611.2
523.039,11664.9
523.123,11765.8
523.207,11922.5
523.292,12174.5
523.376,12253.5
523.461,12429.7
523.545,12565.5
523.63,12720.3
523.714,12815.5
523.799,13037.7
523.883,13156.4
523.968,13379.5
524.052,13448.4
524.137,13583.2
524.221,13793.4
524.306,13791.6
524.39,13983.0
524.474,14247.3
524.559,14257.7
524.643,14473.9
524.728,14624.9
524.812,14711.2
524.897,14741.7
524.981,14911.5
525.066,14950.4
525.15,15042.5
525.234,15011.4
525.319,15065.1
525.403,15031.2
525.488,15027.4
525.572,14957.9
525.657,14982.7
525.741,14809.2
525.825,14873.6
525.91,14738.0
525.994,14516.3
526.079,14559.9
526.163,14324.2
526.248,14253.8
526.332,14051.2
526.416,13947.3
526.501,13707.9
526.585,13532.3
526.67,13320.9
526.754,13313.3
526.838,13143.6
526.923,12856.3
527.007,12795.5
527.092,12585.8
527.176,12325.9
527.26,12192.2
527.345,12120.9
527.429,11958.6
527.514,11742.8
527.598,11566.1
527.682,11409.1
527.767,11321.3
527.851,11004.6
527.936,10916.4
528.02,10801.5
528.104,10558.6
528.189,10438.8
528.273,10199.9
528.358,10149.5
528.442,9963.95
528.526,9785.04
528.611,9640.77
528.695,9558.93
528.779,9293.08
528.864,9224.58
528.948,8966.71
529.032,8859.84
529.117,8699.87
529.201,8652.67
529.286,8484.07
529.37,8402.84
