λ,alta_E,bassa-esp_E,Raw_E
438.677,543.887,111.773,24.5138
438.763,609.166,150.312,20.9799
438.849,692.038,135.211,30.67
438.935,788.783,179.371,18.1877
439.021,790.646,169.342,32.3392
439.107,662.266,170.009,11.0009
439.194,585.824,139.277,27.9482
439.28,454.032,123.019,42.2467
439.366,307.238,64.4064,22.1553
439.452,229.966,45.4315,36.3614
439.538,232.601,41.6211,25.8894
439.624,213.31,38.5115,29.5354
439.71,211.288,49.7355,22.5986
439.796,233.462,57.9262,9.27389
439.882,204.692,59.6447,35.6626
439.969,215.336,44.9971,16.8158
440.055,240.283,54.9426,29.7479
440.141,246.985,70.4004,24.1618
440.227,290.251,91.554,32.7488
440.313,317.936,68.3719,13.7394
440.399,370.387,93.3867,4.75054
440.485,351.21,88.7356,52.2009
440.571,354.358,87.2373,37.8731
440.657,349.565,61.4693,18.6076
440.743,349.533,91.8648,29.2256
440.829,312.87,76.4081,22.8722
440.915,344.394,78.8951,77.3345
441.002,291.622,84.6915,26.2005
441.088,310.802,76.4628,28.723
441.174,283.293,80.9924,15.1404
441.26,286.241,53.8979,6.89323
441.346,292.552,75.0344,30.9531
441.432,287.843,68.2591,31.4329
441.518,287.865,69.6265,16.1635
441.604,280.71,72.4043,24.0264
441.69,266.281,90.9656,33.3544
441.776,242.958,65.4185,24.7774
441.862,300.737,60.0203,35.0423
441.948,243.454,53.7031,35.1036
442.034,240.481,37.4089,26.6687
442.12,229.793,49.4466,24.1727
442.206,220.935,35.6459,0.0
442.292,214.845,50.8076,10.5901
442.379,219.168,60.0161,31.5707
442.465,214.652,30.9463,24.5973
442.551,224.03,60.3524,14.86
442.637,198.648,34.1849,27.9807
442.723,197.472,41.9687,24.8929
442.809,231.147,46.262,9.14355
442.895,224.042,37.6004,43.544
442.981,169.834,49.4609,7.08594
443.067,212.159,28.9085,28.9311
443.153,193.285,35.0422,42.0053
443.239,228.279,38.3377,22.6593
443.325,196.209,18.7919,43.8368
443.411,215.592,54.4855,32.3637
443.497,237.727,39.6999,41.3918
