λ,alta_E
495.75,317.557
495.835,296.499
495.92,285.696
496.005,315.212
496.09,319.516
496.175,292.751
496.26,284.39
496.345,262.254
496.43,284.334
496.515,309.775
496.6,286.881
496.685,289.912
496.77,250.591
496.855,238.645
496.94,275.662
497.025,273.538
497.11,260.137
497.195,303.634
497.28,275.827
497.365,280.254
497.45,347.406
497.535,315.445
497.62,331.03
497.705,292.725
497.79,296.367
497.875,270.651
497.96,239.265
498.045,276.606
498.13,305.902
498.215,317.071
498.3,256.486
498.385,268.9
498.47,214.945
498.555,260.22
498.639,265.485
498.724,259.859
498.809,261.614
498.894,283.745
498.979,271.317
499.064,272.679
499.149,281.036
499.234,301.472
499.319,259.418
499.404,295.518
499.489,299.565
499.574,276.481
499.659,299.246
499.744,293.516
499.829,316.819
499.914,348.404
499.999,347.025
500.084,365.493
500.168,363.446
500.253,336.329
500.338,346.522
500.423,379.428
500.508,356.624
500.593,380.808
500.678,396.408
500.763,386.283
500.848,381.332
500.933,377.439
501.018,383.417
501.103,421.778
501.187,430.176
501.272,416.818
501.357,402.978
501.442,429.182
501.527,407.585
501.612,412.1
501.697,434.376
501.782,374.164
501.867,369.378
501.952,371.253
502.036,381.414
502.121,374.17
502.206,380.067
502.291,385.532
502.376,362.693
502.461,382.509
502.546,392.787
502.631,429.874
502.716,411.887
502.8,462.405
502.885,455.132
502.97,451.361
503.055,456.828
503.14,452.565
503.225,431.291
503.31,476.58
503.395,485.846
503.479,476.116
503.564,504.065
503.649,419.922
503.734,432.676
503.819,394.859
503.904,428.196
503.989,427.003
504.073,410.722
504.158,335.056
504.243,388.003
504.328,441.536
504.413,443.107
504.498,432.381
504.582,464.881
504.667,456.962
504.752,475.76
504.837,487.935
504.922,517.936
505.007,477.362
505.091,445.198
505.176,461.189
505.261,464.768
505.346,471.576
505.431,476.09
505.516,526.311
505.6,546.145
505.685,531.724
505.77,525.36
505.855,496.808
505.94,475.645
506.025,494.083
506.109,493.342
506.194,502.527
506.279,530.957
506.364,500.755
506.449,494.682
506.533,529.809
506.618,533.0
506.703,541.016
506.788,554.253
506.873,573.919
506.957,563.129
507.042,529.815
507.127,568.009
507.212,511.346
507.297,517.408
507.381,588.429
507.466,564.276
507.551,601.196
507.636,562.589
507.72,606.49
507.805,590.39
507.89,575.434
507.975,597.344
508.06,535.654
508.144,519.565
508.229,500.364
508.314,441.31
508.399,486.239
508.483,448.994
508.568,490.954
508.653,438.502
508.738,429.463
508.822,414.021
508.907,418.483
508.992,440.063
509.077,421.719
509.161,432.121
509.246,394.578
509.331,427.706
509.416,466.595
509.5,427.559
509.585,437.018
509.67,439.028
509.755,431.403
509.839,447.054
509.924,434.324
510.009,433.072
510.094,459.007
510.178,425.011
510.263,479.803
510.348,417.986
510.433,429.907
510.517,445.796
510.602,416.34
510.687,377.742
510.771,391.026
510.856,426.351
510.941,443.172
511.026,404.996
511.11,419.165
511.195,412.558
511.28,369.565
511.364,415.886
511.449,401.378
511.534,389.985
511.619,410.594
511.703,426.323
511.788,425.171
511.873,441.775
511.957,510.583
512.042,433.341
512.127,491.505
512.211,494.707
512.296,483.555
512.381,508.85
512.466,542.476
512.55,539.709
512.635,533.671
512.72,576.007
512.804,651.01
512.889,629.525
512.974,643.647
513.058,584.65
513.143,627.637
513.228,625.294
513.312,590.423
513.397,597.122
513.482,661.173
513.566,669.022
513.651,680.983
513.736,727.358
513.82,723.997
513.905,786.335
513.99,752.686
514.074,751.284
514.159,747.692
514.244,716.19
514.328,705.286
514.413,668.353
514.498,749.945
514.582,746.312
514.667,787.355
514.752,835.738
514.836,878.387
514.921,856.075
515.005,857.155
515.09,873.492
515.175,886.605
515.259,799.046
515.344,815.677
515.429,740.082
515.513,767.572
515.598,800.589
515.682,862.222
515.767,843.042
515.852,826.221
515.936,828.598
516.021,835.259
516.106,828.317
516.19,822.056
516.275,884.904
516.359,921.135
516.444,981.059
516.529,1000.03
516.613,1016.8
516.698,1037.94
516.782,1065.63
516.867,1029.99
516.952,1069.57
517.036,1016.01
517.121,919.653
517.205,878.318
517.29,898.155
517.375,909.591
517.459,919.451
517.544,1014.24
517.628,976.747
517.713,983.45
517.798,1004.38
517.882,1022.17
517.967,1053.44
518.051,1085.46
518.136,1114.67
518.22,1029.51
518.305,1040.99
518.39,1012.43
518.474,1009.95
518.559,1019.17
518.643,1069.54
518.728,984.481
518.812,908.581
518.897,781.723
518.982,762.003
519.066,771.748
519.151,753.5
519.235,828.625
519.32,852.774
519.404,850.684
519.489,902.701
519.573,893.08
519.658,884.731
519.743,889.067
519.827,875.787
519.912,821.507
519.996,811.491
520.081,782.752
520.165,737.393
520.25,730.457
520.334,790.772
520.419,746.921
520.503,813.365
520.588,795.703
520.672,815.964
520.757,819.949
520.841,863.026
520.926,851.408
521.011,864.543
521.095,882.64
521.18,838.077
521.264,802.686
521.349,832.983
521.433,860.844
521.518,892.559
521.602,886.503
521.687,830.641
521.771,744.235
521.856,622.332
521.94,526.396
522.025,544.824
522.109,502.704
522.194,524.53
522.278,513.773
522.363,532.306
522.447,553.714
522.532,559.552
522.616,543.406
522.701,541.532
522.785,553.913
522.87,577.712
522.954,581.444
523.039,546.312
523.123,528.931
523.207,482.681
523.292,433.673
523.376,392.672
523.461,418.488
523.545,461.243
523.63,463.73
523.714,431.562
523.799,441.993
523.883,472.202
523.968,496.658
524.052,465.193
524.137,524.149
524.221,518.359
524.306,537.564
524.39,494.99
524.474,513.91
524.559,580.063
524.643,525.843
524.728,487.138
524.812,467.913
524.897,414.595
524.981,385.994
525.066,389.181
525.15,390.449
525.234,415.863
525.319,465.043
525.403,443.277
525.488,455.426
525.572,448.443
525.657,423.61
525.741,416.613
525.825,468.833
525.91,449.302
525.994,453.827
526.079,439.667
526.163,405.374
526.248,423.897
526.332,437.903
526.416,390.761
526.501,438.861
526.585,406.247
526.67,409.337
526.754,409.475
526.838,402.843
526.923,387.474
527.007,421.816
527.092,412.54
527.176,395.872
527.26,384.162
527.345,434.075
527.429,406.452
527.514,445.297
527.598,489.951
527.682,437.975
527.767,449.336
527.851,450.342
527.936,393.18
528.02,379.542
528.104,346.825
528.189,351.936
528.273,349.03
528.358,353.953
528.442,345.45
528.526,278.854
528.611,315.191
528.695,369.774
528.779,366.988
528.864,359.446
528.948,350.831
529.032,358.553
529.117,363.792
529.201,374.636
529.286,365.107
529.37,359.784
529.454,330.433
529.539,326.258
529.623,343.631
529.707,353.532
529.792,327.187
529.876,330.212
529.96,337.021
530.045,385.943
530.129,347.421
530.213,337.034
530.298,324.017
530.382,364.823
530.466,376.126
530.551,378.2
530.635,391.517
530.719,408.286
530.804,445.199
530.888,451.358
530.972,464.607
531.057,473.339
531.141,420.521
531.225,426.66
531.31,380.808
531.394,379.756
531.478,372.844
531.563,391.11
531.647,377.819
531.731,410.149
531.816,350.065
531.9,377.15
531.984,385.849
532.068,365.324
532.153,403.404
532.237,405.767
532.321,381.091
532.406,396.365
532.49,401.701
532.574,377.625
532.659,419.016
532.743,443.762
532.827,482.757
532.911,432.825
532.996,475.468
533.08,484.317
533.164,482.269
533.249,526.394
533.333,523.523
533.417,583.61
533.501,552.912
533.586,585.542
533.67,532.312
533.754,624.504
533.838,638.987
533.923,704.073
534.007,729.197
534.091,773.641
534.175,801.269
534.26,947.244
534.344,879.773
534.428,878.527
534.513,945.908
534.597,984.68
534.681,982.107
534.765,1050.28
534.85,1153.74
534.934,1194.98
535.018,1258.94
535.102,1336.77
535.187,1311.56
535.271,1368.19
535.355,1410.19
535.439,1481.42
535.523,1527.91
535.608,1562.23
535.692,1556.83
535.776,1465.76
535.86,1390.24
535.945,1388.13
536.029,1303.22
536.113,1431.34
536.197,1409.66
536.282,1417.77
536.366,1443.71
536.45,1447.01
536.534,1521.62
536.618,1605.36
536.703,1650.04
536.787,1739.54
536.871,1766.84
536.955,1816.06
537.039,1713.05
537.124,1649.26
537.208,1652.31
537.292,1634.73
537.376,1811.53
537.46,1943.09
537.545,1959.44
537.629,1761.82
537.713,1539.53
537.797,1381.4
537.881,1303.52
537.966,1337.22
538.05,1418.13
538.134,1441.53
538.218,1535.94
538.302,1564.24
538.386,1625.17
538.471,1691.53
538.555,1658.23
538.639,1741.73
538.723,1699.72
538.807,1697.9
538.892,1809.4
538.976,1834.36
539.06,1791.42
539.144,1748.24
539.228,1619.52
539.312,1473.7
539.397,1474.65
539.481,1477.15
539.565,1558.15
539.649,1503.36
539.733,1543.49
539.817,1524.71
539.901,1604.06
539.986,1671.83
540.07,1773.46
540.154,1793.67
540.238,1852.45
540.322,1852.93
540.406,1889.78
540.49,1793.21
540.575,1720.99
540.659,1692.01
540.743,1701.02
540.827,1878.32
540.911,2041.58
540.995,1941.04
